location.district,operation_type.name,property_type.name,usd_price,total_area,years_old,bathrooms,bedrooms,garages,has_swimming_pool,lon,lat
villa el salvador,Comprar,terreno-lote,85000.0,140.0,0.0,2.0,3.0,0.0,False,-12.2182302,-76.9335851
villa el salvador,Comprar,casa,178000.0,140.0,18.0,2.0,4.0,0.0,False,-12.2259308,-76.94450119999999
san isidro,Comprar,departamento,298855.486,146.0,0.0,3.0,3.0,1.0,False,-12.0919266,-77.0430196
santiago de surco,Comprar,departamento,285000.0,140.0,10.0,3.0,3.0,2.0,False,-12.1108239,-76.9802926
barranco,Comprar,departamento,173000.0,78.0,37.0,2.0,3.0,1.0,False,-12.1319461,-77.0189178
santiago de surco,Comprar,departamento,285000.0,140.0,10.0,3.0,3.0,2.0,False,-12.1110034,-76.9801159
santiago de surco,Comprar,departamento,345000.0,168.0,0.0,3.0,3.0,2.0,False,-12.115003,-76.9911563
miraflores,Comprar,departamento,300000.0,124.0,0.0,3.0,2.0,2.0,False,-12.1132803,-77.0375147
breña,Comprar,casa,120000.0,118.0,0.0,1.0,3.0,0.0,False,-12.0521485,-77.0487024
surquillo,Comprar,departamento,138000.0,89.0,5.0,3.0,3.0,1.0,True,-12.1185489,-77.00779800000001
san borja,Comprar,departamento,210000.0,90.0,0.0,3.0,2.0,1.0,False,-12.0936867,-77.00012009999999
santa maria del mar,Comprar,casa,330000.0,537.0,0.0,5.0,5.0,2.0,True,-12.4006362,-76.77349099999999
san isidro,Comprar,departamento,179000.0,85.0,18.0,2.0,2.0,1.0,False,-12.103192757687765,-77.036125
santiago de surco,Comprar,terreno-lote,500000.0,220.0,0.0,2.0,3.0,0.0,False,-12.1149715,-76.9733059
santiago de surco,Comprar,departamento,76911.338,215.0,20.0,3.0,3.0,1.0,False,-12.1157471,-76.972179
miraflores,Alquilar,departamento,1000.0,125.0,4.0,3.0,2.0,2.0,False,-12.1286819,-77.0282272
santiago de surco,Comprar,departamento,165000.0,75.0,3.0,2.0,1.0,2.0,False,-12.115868,-76.97226619999999
san isidro,Alquilar,oficina,590.0,45.0,27.0,0.0,4.0,0.0,False,-12.095561652352822,-77.0469998490738
lurin,Alquilar,terreno-lote,4500.0,400.0,8.0,3.0,4.0,2.0,False,-12.3065136,-76.84741099999997
